Statistical profiling result from isolate-0x62d8be0-4902-v8.log, (19355 ticks, 12872 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<unsigned long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, unsigned long) const@@GLIBCXX_3.4
      1    0.0%    0.0%  std::ostream::put(char)@@GLIBCXX_3.4
      1    0.0%    0.0%  std::ostream::flush()@@GLIBCXX_3.4
      1    0.0%    0.0%  sigaddset@@GLIBC_2.2.5
      1    0.0%    0.0%  pthread_condattr_init@@GLIBC_2.2.5
      1    0.0%    0.0%  pthread_cond_wait@@GLIBC_2.3.2
      1    0.0%    0.0%  pthread_cond_destroy@@GLIBC_2.3.2
      1    0.0%    0.0%  __vsnprintf@@GLIBC_2.2.5
      1    0.0%    0.0%  __pthread_rwlock_init@GLIBC_2.2.5
      1    0.0%    0.0%  __lll_lock_wake_private@@GLIBC_PRIVATE
      1    0.0%    0.0%  _IO_do_write@@GLIBC_2.2.5

 [Summary]:
   ticks  total  nonlib   name
    785    4.1%    4.7%  JavaScript
   3104   16.0%   18.5%  C++
   3698   19.1%   22.1%  GC
   2594   13.4%          Shared libraries
  12872   66.5%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    769   43.6%    4.0%  __write@@GLIBC_2.2.5
    247   14.0%    1.3%  _IO_fwrite@@GLIBC_2.2.5
    160    9.1%    0.8%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)@@GLIBCXX_3.4.9
    144    8.2%    0.7%  syscall@@GLIBC_2.2.5
     93    5.3%    0.5%  _IO_file_xsputn@@GLIBC_2.2.5
     79    4.5%    0.4%  std::ostream::sentry::sentry(std::ostream&)@@GLIBCXX_3.4
     60    3.4%    0.3%  isprint@@GLIBC_2.2.5
     42    2.4%    0.2%  __libc_malloc@@GLIBC_2.2.5
     23    1.3%    0.1%  __open@@GLIBC_2.2.5
     22    1.2%    0.1%  __libc_free@@GLIBC_2.2.5
     16    0.9%    0.1%  std::ostream& std::ostream::_M_insert<long>(long)@@GLIBCXX_3.4.9
     11    0.6%    0.1%  __read@@GLIBC_2.2.5
      9    0.5%    0.0%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      8    0.5%    0.0%  __pthread_mutex_lock@GLIBC_2.2.5
      7    0.4%    0.0%  std::ostream::operator<<(int)@@GLIBCXX_3.4
      7    0.4%    0.0%  operator new(unsigned long)@@GLIBCXX_3.4
      5    0.3%    0.0%  operator new[](unsigned long)@@GLIBCXX_3.4
      5    0.3%    0.0%  brk@@GLIBC_2.2.5
      4    0.2%    0.0%  std::__detail::_List_node_base::_M_hook(std::__detail::_List_node_base*)@@GLIBCXX_3.4.15
      4    0.2%    0.0%  pthread_cond_signal@@GLIBC_2.3.2
      4    0.2%    0.0%  operator delete(void*, unsigned long)@@CXXABI_1.3.9
      4    0.2%    0.0%  operator delete(void*)@@GLIBCXX_3.4
